Entity,Code,Day,total_vaccinations_per_hundred,"GDP per capita, PPP (constant 2011 international $)",Year,Year,Continent
Albania,ALB,2021-04-08,8.44,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-04-09,8.73,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-04-10,8.94,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-04-12,9.31,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-04-13,9.79,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-04-15,10.6,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-04-16,10.95,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-04-17,11.31,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-04-18,11.59,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-04-19,12.04,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-04-20,12.18,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-04-21,12.95,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-04-22,13.33,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-04-23,13.62,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-04-24,13.93,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-04-26,14.22,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-04-27,14.51,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-04-28,15.09,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-04-29,15.78,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-04-30,16.6,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-05-01,17.2,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-05-03,18.01,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-05-04,18.71,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-05-05,19.37,11803.4305936025,2017,2015,Europe
